company_name,ticker,sector,ticker_yfinance,currency,exchange,country,index,has_adr,adr_ticker
MSCI Inc.,MSCI,Financials,MSCI,USD,NYSE/NASDAQ,US,SP500,False,
"Nasdaq, Inc.",NDAQ,Financials,NDAQ,USD,NYSE/NASDAQ,US,SP500,False,
NetApp,NTAP,Information Technology,NTAP,USD,NYSE/NASDAQ,US,SP500,False,
Netflix,NFLX,Communication Services,NFLX,USD,NYSE/NASDAQ,US,SP500,False,
Newmont,NEM,Materials,NEM,USD,NYSE/NASDAQ,US,SP500,False,
News Corp (Class A),NWSA,Communication Services,NWSA,USD,NYSE/NASDAQ,US,SP500,False,
News Corp (Class B),NWS,Communication Services,NWS,USD,NYSE/NASDAQ,US,SP500,False,
NextEra Energy,NEE,Utilities,NEE,USD,NYSE/NASDAQ,US,SP500,False,
"Nike, Inc.",NKE,Consumer Discretionary,NKE,USD,NYSE/NASDAQ,US,SP500,False,
NiSource,NI,Utilities,NI,USD,NYSE/NASDAQ,US,SP500,False,
Nordson Corporation,NDSN,Industrials,NDSN,USD,NYSE/NASDAQ,US,SP500,False,
Norfolk Southern,NSC,Industrials,NSC,USD,NYSE/NASDAQ,US,SP500,False,
Northern Trust,NTRS,Financials,NTRS,USD,NYSE/NASDAQ,US,SP500,False,
Northrop Grumman,NOC,Industrials,NOC,USD,NYSE/NASDAQ,US,SP500,False,
Norwegian Cruise Line Holdings,NCLH,Consumer Discretionary,NCLH,USD,NYSE/NASDAQ,US,SP500,False,
NRG Energy,NRG,Utilities,NRG,USD,NYSE/NASDAQ,US,SP500,False,
Nucor,NUE,Materials,NUE,USD,NYSE/NASDAQ,US,SP500,False,
Nvidia,NVDA,Information Technology,NVDA,USD,NYSE/NASDAQ,US,SP500,False,
"NVR, Inc.",NVR,Consumer Discretionary,NVR,USD,NYSE/NASDAQ,US,SP500,False,
NXP Semiconductors,NXPI,Information Technology,NXPI,USD,NYSE/NASDAQ,US,SP500,False,
O’Reilly Automotive,ORLY,Consumer Discretionary,ORLY,USD,NYSE/NASDAQ,US,SP500,False,
Occidental Petroleum,OXY,Energy,OXY,USD,NYSE/NASDAQ,US,SP500,False,
Old Dominion,ODFL,Industrials,ODFL,USD,NYSE/NASDAQ,US,SP500,False,
Omnicom Group,OMC,Communication Services,OMC,USD,NYSE/NASDAQ,US,SP500,False,
ON Semiconductor,ON,Information Technology,ON,USD,NYSE/NASDAQ,US,SP500,False,
Oneok,OKE,Energy,OKE,USD,NYSE/NASDAQ,US,SP500,False,
Oracle Corporation,ORCL,Information Technology,ORCL,USD,NYSE/NASDAQ,US,SP500,False,
Otis Worldwide,OTIS,Industrials,OTIS,USD,NYSE/NASDAQ,US,SP500,False,
Paccar,PCAR,Industrials,PCAR,USD,NYSE/NASDAQ,US,SP500,False,
Packaging Corporation of America,PKG,Materials,PKG,USD,NYSE/NASDAQ,US,SP500,False,
Palantir Technologies,PLTR,Information Technology,PLTR,USD,NYSE/NASDAQ,US,SP500,False,
Palo Alto Networks,PANW,Information Technology,PANW,USD,NYSE/NASDAQ,US,SP500,False,
Paramount Skydance Corporation,PSKY,Communication Services,PSKY,USD,NYSE/NASDAQ,US,SP500,False,
